Airline,Origin,mean
Allegiant Air,FSD,12.612341772151899
Allegiant Air,FWA,11.101967799642217
Allegiant Air,GFK,12.64622641509434
Allegiant Air,GJT,10.801587301587302
Allegiant Air,GPT,10.776699029126213
Allegiant Air,GRI,11.372727272727273
Allegiant Air,GRR,14.659870250231696
Allegiant Air,GSO,12.090047393364928
Allegiant Air,GSP,11.710327455919396
Allegiant Air,GTF,7.017937219730942
Allegiant Air,HGR,8.313432835820896
Allegiant Air,HTS,7.353211009174312
Allegiant Air,IAG,15.350993377483444
Allegiant Air,ICT,10.799242424242424
Allegiant Air,IDA,8.003322259136212
Allegiant Air,IND,14.205784204671858
Allegiant Air,JAX,12.347457627118644
Allegiant Air,LAS,17.209077295242484
Allegiant Air,LAX,19.959000640614992
Allegiant Air,LCK,12.093283582089553
Allegiant Air,LEX,11.559675550405561
Allegiant Air,LIT,14.23015873015873
Allegiant Air,LRD,6.383177570093458
Allegiant Air,MCI,11.062052505966587
Allegiant Air,MDT,12.092627599243857
Allegiant Air,MEM,13.01437908496732
Allegiant Air,MFE,11.224598930481283
Allegiant Air,MFR,11.663120567375886
Allegiant Air,MKE,12.0125786163522
Allegiant Air,MLI,11.22061855670103
Allegiant Air,MOT,14.368421052631579
Allegiant Air,MRY,10.09433962264151
Allegiant Air,MSO,11.72668810289389
Allegiant Air,MSY,11.476449275362318
Allegiant Air,MTJ,14.333333333333334
Allegiant Air,MYR,10.623711340206185
Allegiant Air,OAK,12.313549832026876
Allegiant Air,OGD,8.304
Allegiant Air,OGS,16.208
Allegiant Air,OKC,10.917127071823204
Allegiant Air,OMA,13.596153846153847
Allegiant Air,ORF,11.943573667711599
Allegiant Air,OWB,5.813084112149533
Allegiant Air,PBG,13.456066945606695
Allegiant Air,PGD,10.286733513305052
Allegiant Air,PIA,11.2431654676259
Allegiant Air,PIE,12.650761558161477
Allegiant Air,PIT,12.80363321799308
Allegiant Air,PSC,11.095057034220533
Allegiant Air,PSM,13.125874125874127
Allegiant Air,PSP,13.006060606060606
Allegiant Air,PVD,11.366255144032921
Allegiant Air,PVU,13.34508348794063
Allegiant Air,RAP,13.175824175824175
Allegiant Air,RDU,15.65360824742268
Allegiant Air,RFD,11.012012012012011
Allegiant Air,RIC,14.20817843866171
Allegiant Air,RNO,12.695652173913043
Allegiant Air,ROA,10.53305785123967
Allegiant Air,ROC,14.198924731182796
Allegiant Air,SAN,14.32258064516129
Allegiant Air,SAT,12.853107344632768
Allegiant Air,SAV,11.464025026068821
Allegiant Air,SBN,12.704545454545455
Allegiant Air,SCK,8.381596752368065
Allegiant Air,SDF,12.84326710816777
Allegiant Air,SFB,14.012640893289792
Allegiant Air,SGF,11.520100502512562
Allegiant Air,SGU,13.0
Allegiant Air,SHV,9.924657534246576
Allegiant Air,SJU,17.42281879194631
Allegiant Air,SMX,6.8882352941176475
Allegiant Air,SPI,6.882352941176471
Allegiant Air,SRQ,11.06787330316742
Allegiant Air,STC,11.63888888888889
Allegiant Air,SWF,14.274666666666667
Allegiant Air,SYR,13.61995753715499
Allegiant Air,TOL,7.890756302521009
Allegiant Air,TRI,9.052287581699346
Allegiant Air,TTN,11.470588235294118
Allegiant Air,TUL,13.876237623762377
Allegiant Air,TUS,12.964285714285714
Allegiant Air,TYS,11.362951807228916
Allegiant Air,USA,12.168032786885245
