Airline,Dest,mean
Allegiant Air,FSD,6.805071315372425
Allegiant Air,FWA,5.747311827956989
Allegiant Air,GFK,5.8246445497630335
Allegiant Air,GJT,7.503937007874016
Allegiant Air,GPT,5.883495145631068
Allegiant Air,GRI,7.36697247706422
Allegiant Air,GRR,9.48936170212766
Allegiant Air,GSO,6.819905213270142
Allegiant Air,GSP,7.27020202020202
Allegiant Air,GTF,5.865470852017937
Allegiant Air,HGR,5.5036496350364965
Allegiant Air,HTS,6.164759725400458
Allegiant Air,IAG,9.21806167400881
Allegiant Air,ICT,5.708333333333333
Allegiant Air,IDA,6.176666666666667
Allegiant Air,IND,7.917222222222223
Allegiant Air,JAX,7.910321489001692
Allegiant Air,LAS,5.98493213710605
Allegiant Air,LAX,10.317104420243433
Allegiant Air,LCK,5.949485500467727
Allegiant Air,LEX,6.333333333333333
Allegiant Air,LIT,11.61111111111111
Allegiant Air,LRD,5.88785046728972
Allegiant Air,MCI,6.5095238095238095
Allegiant Air,MDT,7.052830188679246
Allegiant Air,MEM,10.401564537157757
Allegiant Air,MFE,5.312997347480106
Allegiant Air,MFR,6.460992907801418
Allegiant Air,MKE,6.305993690851735
Allegiant Air,MLI,5.995876288659794
Allegiant Air,MOT,5.954385964912281
Allegiant Air,MRY,6.481132075471698
Allegiant Air,MSO,5.84789644012945
Allegiant Air,MSY,8.375
Allegiant Air,MTJ,11.033333333333333
Allegiant Air,MYR,6.139318885448916
Allegiant Air,OAK,6.489955357142857
Allegiant Air,OGD,5.368
Allegiant Air,OGS,7.073170731707317
Allegiant Air,OKC,6.4515235457063715
Allegiant Air,OMA,6.732530120481928
Allegiant Air,ORF,5.717868338557993
Allegiant Air,OWB,6.91588785046729
Allegiant Air,PBG,5.904365904365904
Allegiant Air,PGD,6.922185750144815
Allegiant Air,PIA,5.825899280575539
Allegiant Air,PIE,7.009431420102398
Allegiant Air,PIT,5.991379310344827
Allegiant Air,PSC,5.791666666666667
Allegiant Air,PSM,5.431578947368421
Allegiant Air,PSP,5.672727272727273
Allegiant Air,PVD,5.843621399176954
Allegiant Air,PVU,5.5512104283054
Allegiant Air,RAP,6.912087912087912
Allegiant Air,RDU,8.024793388429751
Allegiant Air,RFD,6.2492492492492495
Allegiant Air,RIC,9.026022304832713
Allegiant Air,RNO,6.053691275167785
Allegiant Air,ROA,5.506172839506172
Allegiant Air,ROC,8.421621621621622
Allegiant Air,SAN,6.65587044534413
Allegiant Air,SAT,8.141242937853107
Allegiant Air,SAV,6.199165797705944
Allegiant Air,SBN,5.907993966817497
Allegiant Air,SCK,6.059782608695652
Allegiant Air,SDF,7.608839779005525
Allegiant Air,SFB,6.336245920623224
Allegiant Air,SGF,6.3466833541927405
Allegiant Air,SGU,8.25
Allegiant Air,SHV,9.724137931034482
Allegiant Air,SJU,9.013333333333334
Allegiant Air,SMX,5.152941176470589
Allegiant Air,SPI,5.773109243697479
Allegiant Air,SRQ,6.117647058823529
Allegiant Air,STC,9.140845070422536
Allegiant Air,SWF,6.154255319148936
Allegiant Air,SYR,6.209302325581396
Allegiant Air,TOL,5.811797752808989
Allegiant Air,TRI,7.401315789473684
Allegiant Air,TTN,5.294117647058823
Allegiant Air,TUL,7.004926108374384
Allegiant Air,TUS,5.892857142857143
Allegiant Air,TYS,6.454135338345865
Allegiant Air,USA,5.938271604938271
Allegiant Air,VPS,9.397289586305279
Allegiant Air,XNA,6.592465753424658
Allegiant Air,YNG,11.5
American Airlines Inc.,ABQ,6.036231884057971
American Airlines Inc.,ALB,3.7325301204819277
American Airlines Inc.,ANC,4.737373737373737
American Airlines Inc.,ATL,9.994963738920225
American Airlines Inc.,AUS,6.495866016535934
American Airlines Inc.,BDL,5.87535680304472
American Airlines Inc.,BNA,7.365138233310856
American Airlines Inc.,BOI,4.616926503340757
American Airlines Inc.,BOS,7.862183696699063
American Airlines Inc.,BTV,3.875757575757576
American Airlines Inc.,BUF,3.6774193548387095
American Airlines Inc.,BWI,6.445661331086773
American Airlines Inc.,BZN,6.741379310344827
American Airlines Inc.,CAE,4.898181818181818
American Airlines Inc.,CHS,5.933333333333334
American Airlines Inc.,CLE,7.759005145797599
American Airlines Inc.,CLT,10.659813548788067
American Airlines Inc.,CMH,6.236531986531986
American Airlines Inc.,COS,7.4366666666666665
American Airlines Inc.,CVG,6.808580858085809
American Airlines Inc.,DCA,6.929616281534874
American Airlines Inc.,DEN,8.33365132363463
American Airlines Inc.,DFW,13.887618007067621
American Airlines Inc.,DSM,6.214497041420119
American Airlines Inc.,DTW,9.720825852782765
American Airlines Inc.,EGE,9.357512953367875
American Airlines Inc.,ELP,4.4524539877300615
American Airlines Inc.,EWR,8.46797695696374
American Airlines Inc.,FAT,5.246006389776358
American Airlines Inc.,FLL,4.338056680161944
American Airlines Inc.,GEG,4.7336244541484715
American Airlines Inc.,GRR,7.178913738019169
American Airlines Inc.,GSO,6.217054263565892
American Airlines Inc.,GSP,5.016666666666667
American Airlines Inc.,GUC,3.9166666666666665
American Airlines Inc.,HDN,5.52
American Airlines Inc.,HNL,6.295952782462058
American Airlines Inc.,IAD,7.408393866020985
American Airlines Inc.,IAH,9.338195569962183
American Airlines Inc.,ICT,5.178913738019169
American Airlines Inc.,ILM,4.523105360443623
American Airlines Inc.,IND,6.778371954842543
American Airlines Inc.,JAC,6.7040358744394615
American Airlines Inc.,JAX,5.833880499015102
American Airlines Inc.,JFK,10.08674084997989
American Airlines Inc.,KOA,4.581871345029239
American Airlines Inc.,LAS,7.881151832460733
American Airlines Inc.,LAX,12.619108133086876
American Airlines Inc.,LBB,6.036585365853658
American Airlines Inc.,LGA,7.721348568842629
American Airlines Inc.,LIH,6.351230425055928
American Airlines Inc.,LIT,5.0
American Airlines Inc.,MCI,5.3524804177545695
American Airlines Inc.,MCO,9.876035339591386
American Airlines Inc.,MDT,5.409252669039146
American Airlines Inc.,MEM,5.2439530062197655
American Airlines Inc.,MFE,4.413043478260869
American Airlines Inc.,MHT,4.959770114942529
American Airlines Inc.,MIA,10.498276192300326
American Airlines Inc.,MKE,4.353760445682451
American Airlines Inc.,MLB,3.765625
American Airlines Inc.,MSP,5.34789972899729
American Airlines Inc.,MSY,5.287193648602002
American Airlines Inc.,MTJ,13.4
American Airlines Inc.,MYR,4.279742765273312
American Airlines Inc.,OAK,6.0770975056689345
American Airlines Inc.,OGG,6.538759689922481
American Airlines Inc.,OKC,5.7081395348837205
American Airlines Inc.,OMA,5.294041450777202
American Airlines Inc.,ONT,6.019909502262443
American Airlines Inc.,ORD,15.311426213519393
American Airlines Inc.,ORF,4.595634095634096
American Airlines Inc.,PBI,4.732174955062912
American Airlines Inc.,PDX,4.812256267409471
American Airlines Inc.,PHL,8.199115044247788
American Airlines Inc.,PHX,9.324508890958272
American Airlines Inc.,PIT,5.397430750702529
American Airlines Inc.,PNS,4.708333333333333
American Airlines Inc.,PSP,5.785219399538106
American Airlines Inc.,PVD,4.226677577741407
American Airlines Inc.,PWM,3.5859519408502774
American Airlines Inc.,RDU,5.254936708860759
American Airlines Inc.,RIC,6.290322580645161
American Airlines Inc.,RNO,5.213008130081301
American Airlines Inc.,RSW,4.666666666666667
American Airlines Inc.,SAN,4.5929035752979415
American Airlines Inc.,SAT,5.137931034482759
American Airlines Inc.,SAV,5.73721340388007
American Airlines Inc.,SBA,4.0
American Airlines Inc.,SEA,11.70939226519337
American Airlines Inc.,SFO,7.2294935805991445
American Airlines Inc.,SJC,4.469586374695864
American Airlines Inc.,SJU,7.171428571428572
American Airlines Inc.,SLC,6.615428247305729
American Airlines Inc.,SMF,6.645348837209302
American Airlines Inc.,SNA,7.203913894324853
American Airlines Inc.,SRQ,3.6153846153846154
American Airlines Inc.,STL,5.18310322156476
American Airlines Inc.,STT,4.425474254742547
American Airlines Inc.,STX,3.6517857142857144
American Airlines Inc.,SYR,4.190298507462686
American Airlines Inc.,TPA,5.48421893727527
American Airlines Inc.,TUL,4.947327044025157
American Airlines Inc.,TUS,5.443931398416886
American Airlines Inc.,VPS,9.790123456790123
American Airlines Inc.,XNA,5.697247706422019
Cape Air,GUM,5.029177718832892
Cape Air,ROP,4.6490066225165565
Cape Air,SPN,4.765333333333333
Capital Cargo International,ABE,4.668769716088328
Capital Cargo International,AGS,4.889763779527559
Capital Cargo International,ALB,4.730769230769231
Capital Cargo International,ART,6.072243346007604
Capital Cargo International,AVL,4.666666666666667
Capital Cargo International,AVP,5.609958506224066
Capital Cargo International,BDL,6.589285714285714
Capital Cargo International,BGR,5.409836065573771
Capital Cargo International,BHM,4.640776699029126
Capital Cargo International,BNA,7.958333333333333
Capital Cargo International,BOS,10.762820512820513
Capital Cargo International,BTV,5.048582995951417
Capital Cargo International,BUF,4.488095238095238
Capital Cargo International,BWI,8.109919571045577
Capital Cargo International,CAE,5.32703213610586
Capital Cargo International,CHA,5.984615384615385
Capital Cargo International,CHO,4.610320284697509
Capital Cargo International,CHS,7.771812080536913
Capital Cargo International,CLE,8.040632054176072
Capital Cargo International,CLT,14.519834425664023
Capital Cargo International,CMH,8.055555555555555
Capital Cargo International,DTW,10.907949790794978
Capital Cargo International,ERI,4.760869565217392
Capital Cargo International,EWN,3.9375
Capital Cargo International,FAY,5.090909090909091
Capital Cargo International,FLO,6.586826347305389
Capital Cargo International,FWA,6.247422680412371
Capital Cargo International,GRR,8.428571428571429
Capital Cargo International,GSO,7.389645776566757
Capital Cargo International,GSP,4.7
Capital Cargo International,HTS,4.25
Capital Cargo International,ILM,6.447653429602888
Capital Cargo International,IND,9.176470588235293
Capital Cargo International,IPT,6.567213114754098
Capital Cargo International,ISP,6.108958837772397
Capital Cargo International,ITH,6.4054726368159205
Capital Cargo International,JFK,7.818181818181818
Capital Cargo International,LEX,5.468546637744034
Capital Cargo International,LYH,5.7272727272727275
Capital Cargo International,MDT,6.431635388739946
Capital Cargo International,MGM,4.76953125
Capital Cargo International,MHT,6.0823244552058116
Capital Cargo International,MKE,6.5018587360594795
Capital Cargo International,MYR,6.645161290322581
Capital Cargo International,OAJ,4.2485549132947975
Capital Cargo International,ORF,5.680412371134021
Capital Cargo International,ORH,6.044303797468355
Capital Cargo International,PGV,5.178743961352657
Capital Cargo International,PHF,5.798041615667075
Capital Cargo International,PHL,8.25603378921963
Capital Cargo International,PIT,7.0
Capital Cargo International,PVD,4.666666666666667
Capital Cargo International,PWM,4.8108108108108105
Capital Cargo International,RIC,6.986078886310905
Capital Cargo International,ROA,6.916730917501927
Capital Cargo International,ROC,6.1537242472266245
Capital Cargo International,SAV,9.529411764705882
Capital Cargo International,SBY,5.006888633754305
Capital Cargo International,SCE,5.122641509433962
Capital Cargo International,SDF,22.545454545454547
Capital Cargo International,SWF,5.766265060240964
Capital Cargo International,SYR,4.158208955223881
Capital Cargo International,TRI,5.165820642978003
Capital Cargo International,TYS,5.412698412698413
Comair Inc.,ABE,4.193333333333333
Comair Inc.,AGS,4.006738544474394
Comair Inc.,ALB,3.330895795246801
Comair Inc.,ART,4.68
Comair Inc.,ATL,8.963531669865644
Comair Inc.,AUS,6.666666666666667
Comair Inc.,AVL,3.9847036328871894
Comair Inc.,AVP,4.491646778042959
Comair Inc.,BDL,4.9325997248968365
Comair Inc.,BGR,4.649289099526066
Comair Inc.,BHM,3.04
Comair Inc.,BNA,6.317391304347826
Comair Inc.,BTR,4.431034482758621
Comair Inc.,BTV,4.424311926605505
Comair Inc.,BUF,3.0172413793103448
Comair Inc.,BWI,5.919354838709677
Comair Inc.,CAE,4.280075187969925
Comair Inc.,CAK,5.096470588235294
Comair Inc.,CHA,5.757823129251701
Comair Inc.,CHO,3.6235864297253637
Comair Inc.,CHS,5.778202676864245
Comair Inc.,CID,5.4727891156462585
Comair Inc.,CLE,7.12565445026178
Comair Inc.,CLT,14.893453876641711
Comair Inc.,CMH,6.2952755905511815
Comair Inc.,CRW,3.3158878504672895
Comair Inc.,CVG,5.365349264705882
Comair Inc.,DAB,4.201754385964913
Comair Inc.,DAY,4.514126264387862
Comair Inc.,DCA,6.2206489675516226
Comair Inc.,DSM,5.611226611226611
Comair Inc.,DTW,9.379562043795621
Comair Inc.,EVV,3.7679180887372015
Comair Inc.,EWN,3.625
Comair Inc.,FAY,4.132743362831858
Comair Inc.,FWA,4.159420289855072
Comair Inc.,GNV,3.7525597269624575
Comair Inc.,GPT,4.929078014184397
Comair Inc.,GRR,7.408983451536643
Comair Inc.,GSO,5.892969569779643
Comair Inc.,GSP,3.5668341708542712
Comair Inc.,HPN,5.0614136732329085
Comair Inc.,HSV,4.748387096774193
Comair Inc.,HTS,4.608695652173913
Comair Inc.,HVN,3.272952853598015
Comair Inc.,IAD,6.360975609756098
Comair Inc.,ILM,3.9718640093786637
Comair Inc.,IND,6.4424635332252835
Comair Inc.,ITH,2.5
Comair Inc.,JAN,4.707112970711297
Comair Inc.,JAX,5.050301810865191
Comair Inc.,JFK,8.08860759493671
Comair Inc.,LEX,4.339116719242902
Comair Inc.,LGA,9.550206327372765
Comair Inc.,LIT,6.444866920152092
Comair Inc.,LYH,3.9147869674185465
Comair Inc.,MCI,4.22093023255814
Comair Inc.,MDT,5.603833865814696
Comair Inc.,MEM,4.03030303030303
Comair Inc.,MGM,3.35546875
Comair Inc.,MHT,4.812236286919831
Comair Inc.,MKE,4.390018484288355
Comair Inc.,MLB,3.6875
Comair Inc.,MOB,3.9731800766283527
Comair Inc.,MSN,4.780033840947547
Comair Inc.,MSY,6.9
Comair Inc.,MYR,3.8564727954971856
Comair Inc.,OAJ,3.2744186046511627
Comair Inc.,OKC,5.225589225589226
Comair Inc.,OMA,4.302013422818792
Comair Inc.,ORD,11.842720510095642
Comair Inc.,ORF,4.043454038997215
Comair Inc.,PGV,2.8957219251336896
Comair Inc.,PHF,4.821705426356589
Comair Inc.,PHL,6.8727084053960565
Comair Inc.,PIA,4.8310344827586205
Comair Inc.,PIT,5.062138728323699
Comair Inc.,PNS,3.9740853658536586
Comair Inc.,PVD,3.6710875331564985
Comair Inc.,PWM,3.323529411764706
Comair Inc.,RAP,6.769230769230769
Comair Inc.,RDU,5.624521072796935
Comair Inc.,RIC,5.932203389830509
Comair Inc.,ROA,4.72093023255814
Comair Inc.,ROC,4.7295454545454545
Comair Inc.,SAT,3.4471544715447155
Comair Inc.,SAV,5.441693811074918
Comair Inc.,SDF,7.7011197243755385
Comair Inc.,SHV,6.230508474576271
Comair Inc.,SRQ,3.9794776119402986
Comair Inc.,STL,4.506738544474394
Comair Inc.,SYR,3.7537993920972643
Comair Inc.,TLH,4.302134646962233
Comair Inc.,TOL,3.0273972602739727
Comair Inc.,TRI,4.896551724137931
Comair Inc.,TUL,4.42
Comair Inc.,TYS,4.489932885906041
Comair Inc.,VPS,7.575704225352113
Comair Inc.,XNA,5.402234636871508
"Commutair Aka Champlain Enterprises, Inc.",ACK,8.513966480446927
"Commutair Aka Champlain Enterprises, Inc.",ALB,5.180831826401446
"Commutair Aka Champlain Enterprises, Inc.",AVL,4.916666666666667
"Commutair Aka Champlain Enterprises, Inc.",AVP,4.972972972972973
"Commutair Aka Champlain Enterprises, Inc.",BDL,6.2
"Commutair Aka Champlain Enterprises, Inc.",BGR,4.3478260869565215
"Commutair Aka Champlain Enterprises, Inc.",BNA,8.956521739130435
"Commutair Aka Champlain Enterprises, Inc.",BTV,5.02713567839196
"Commutair Aka Champlain Enterprises, Inc.",BUF,5.16403785488959
"Commutair Aka Champlain Enterprises, Inc.",BWI,6.312849162011173
"Commutair Aka Champlain Enterprises, Inc.",CAE,4.0
"Commutair Aka Champlain Enterprises, Inc.",CHO,4.53475935828877
"Commutair Aka Champlain Enterprises, Inc.",CHS,6.89453125
"Commutair Aka Champlain Enterprises, Inc.",CLE,6.452
"Commutair Aka Champlain Enterprises, Inc.",CMH,6.955165692007797
"Commutair Aka Champlain Enterprises, Inc.",CRW,6.956521739130435
"Commutair Aka Champlain Enterprises, Inc.",DAY,11.478260869565217
"Commutair Aka Champlain Enterprises, Inc.",ELM,5.495918367346939
"Commutair Aka Champlain Enterprises, Inc.",EWR,11.411964095160378
"Commutair Aka Champlain Enterprises, Inc.",FAY,6.086538461538462
"Commutair Aka Champlain Enterprises, Inc.",GRR,5.349716446124764
"Commutair Aka Champlain Enterprises, Inc.",GSO,7.419354838709677
"Commutair Aka Champlain Enterprises, Inc.",GSP,4.873517786561265
"Commutair Aka Champlain Enterprises, Inc.",IAD,7.067513200905205
"Commutair Aka Champlain Enterprises, Inc.",IND,6.797297297297297
"Commutair Aka Champlain Enterprises, Inc.",ITH,4.479738562091503
"Commutair Aka Champlain Enterprises, Inc.",JAX,5.575308641975309
